CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,D0Fed2Time,Time Fed,Date Fed,Time Fed,BdatTime,F2datTime,F3datTime,BtoM,HrsBtoMilk,FtoM,HrsF2toMilk
50,7/16/2024,10:10,S,Y,M,91.2,LG,19:41,7:00AM,7/17/2024,7:00,7/16/2024 10:10,7/16/2024 19:41,7/17/2024 7:00,0.868055556,20.83333333,0.471527778,11.31666667
51,7/16/2024,9:50,S,Y,M,98.4,LG,18:51,7:00AM,7/17/2024,7:00,7/16/2024 9:50,7/16/2024 18:51,7/17/2024 7:00,0.881944444,21.16666667,0.50625,12.15
52,7/15/2024,14:00,S,Y,M,92.8,LG,23:00,7:00AM,7/16/2024,7:00,7/15/2024 14:00,7/15/2024 23:00,7/16/2024 7:00,0.708333333,17,0.333333333,8
53,7/15/2024,12:56,S,Y,M,111.4,LG,21:25,7:00AM,7/16/2024,7:00,7/15/2024 12:56,7/15/2024 21:25,7/16/2024 7:00,0.752777778,18.06666667,0.399305556,9.583333333
54,7/15/2024,12:12,S,Y,M,81.5,LG,21:30,7:00AM,7/16/2024,7:00,7/15/2024 12:12,7/15/2024 21:30,7/16/2024 7:00,0.783333333,18.8,0.395833333,9.5
55,7/15/2024,12:08,S,Y,F,72.6,SM,20:48,7:00AM,7/16/2024,7:00,7/15/2024 12:08,7/15/2024 20:48,7/16/2024 7:00,0.786111111,18.86666667,0.425,10.2
56,7/15/2024,11:00,S,Y,F,93.4,LG,19:56,7:00AM,7/16/2024,7:00,7/15/2024 11:00,7/15/2024 19:56,7/16/2024 7:00,0.833333333,20,0.461111111,11.06666667
57,7/11/2024,9:45,S,Y,M,60.2,SM,18:55,7:00AM,7/12/2024,7:00,7/11/2024 9:45,7/11/2024 18:55,7/12/2024 7:00,0.885416667,21.25,0.503472222,12.08333333
58,7/11/2024,9:20,S,Y,M,105.2,LG,17:50,7:00AM,7/12/2024,7:00,7/11/2024 9:20,7/11/2024 17:50,7/12/2024 7:00,0.902777778,21.66666667,0.548611111,13.16666667
59,7/10/2024,14:30,S,Y,M,90.4,LG,23:42,7:00AM,7/11/2024,7:00,7/10/2024 14:30,7/10/2024 23:42,7/11/2024 7:00,0.6875,16.5,0.304166667,7.3
60,7/10/2024,14:00,S,Y,F,78.2,SM,23:35,7:00AM,7/11/2024,7:00,7/10/2024 14:00,7/10/2024 23:35,7/11/2024 7:00,0.708333333,17,0.309027778,7.416666667
61,7/10/2024,13:15,S,Y,F,98.4,LG,21:48,7:00AM,7/11/2024,7:00,7/10/2024 13:15,7/10/2024 21:48,7/11/2024 7:00,0.739583333,17.75,0.383333333,9.2
62,7/10/2024,11:20,S,Y,M,64.4,SM,20:55,7:00AM,7/11/2024,7:00,7/10/2024 11:20,7/10/2024 20:55,7/11/2024 7:00,0.819444444,19.66666667,0.420138889,10.08333333
63,7/10/2024,6:40,T,Y,F,74.6,SM,16:15,7:00AM,7/11/2024,7:00,7/10/2024 6:40,7/10/2024 16:15,7/11/2024 7:00,1.013888889,24.33333333,0.614583333,14.75
64,7/10/2024,6:00,S,Y,F,94.4,LG,14:45,7:00AM,7/11/2024,7:00,7/10/2024 6:00,7/10/2024 14:45,7/11/2024 7:00,1.041666667,25,0.677083333,16.25
65,7/9/2024,11:00,S,Y,F,81.8,LG,20:00,7:00AM,7/10/2024,7:00,7/9/2024 11:00,7/9/2024 20:00,7/10/2024 7:00,0.833333333,20,0.458333333,11
66,7/8/2024,10:02,S,N,M,93.6,LG,19:15,7:00AM,7/9/2024,7:00,7/8/2024 10:02,7/8/2024 19:15,7/9/2024 7:00,0.873611111,20.96666667,0.489583333,11.75
67,7/8/2024,9:43,S,Y,M,92.4,LG,19:08,7:00AM,7/9/2024,7:00,7/8/2024 9:43,7/8/2024 19:08,7/9/2024 7:00,0.886805556,21.28333333,0.494444444,11.86666667
68,7/8/2024,8:45,S,Y,F,85,LG,18:22,7:00AM,7/9/2024,7:00,7/8/2024 8:45,7/8/2024 18:22,7/9/2024 7:00,0.927083333,22.25,0.526388889,12.63333333
69,7/8/2024,8:20,S,N,M,98.8,LG,17:30,7:00AM,7/9/2024,7:00,7/8/2024 8:20,7/8/2024 17:30,7/9/2024 7:00,0.944444444,22.66666667,0.5625,13.5
70,7/8/2024,8:15,S,Y,F,79.8,SM,17:15,7:00AM,7/9/2024,7:00,7/8/2024 8:15,7/8/2024 17:15,7/9/2024 7:00,0.947916667,22.75,0.572916667,13.75
71,7/8/2024,7:20,S,Y,M,98.8,LG,16:50,7:00AM,7/9/2024,7:00,7/8/2024 7:20,7/8/2024 16:50,7/9/2024 7:00,0.986111111,23.66666667,0.590277778,14.16666667
72,7/4/2024,11:10,S,Y,M,81.4,LG,20:05,7:00AM,7/5/2024,7:00,7/4/2024 11:10,7/4/2024 20:05,7/5/2024 7:00,0.826388889,19.83333333,0.454861111,10.91666667
73,7/4/2024,10:30,S,Y,F,97.4,LG,19:50,7:00AM,7/5/2024,7:00,7/4/2024 10:30,7/4/2024 19:50,7/5/2024 7:00,0.854166667,20.5,0.465277778,11.16666667
74,7/4/2024,7:00,T,Y,F,75.3,SM,16:36,7:00AM,7/5/2024,7:00,7/4/2024 7:00,7/4/2024 16:36,7/5/2024 7:00,1,24,0.6,14.4
75,7/3/2024,11:55,S,Y,F,83.8,LG,20:40,7:00AM,7/4/2024,7:00,7/3/2024 11:55,7/3/2024 20:40,7/4/2024 7:00,0.795138889,19.08333333,0.430555556,10.33333333
76,7/3/2024,10:20,S,Y,F,76.6,SM,19:20,7:00AM,7/4/2024,7:00,7/3/2024 10:20,7/3/2024 19:20,7/4/2024 7:00,0.861111111,20.66666667,0.486111111,11.66666667
77,7/3/2024,9:50,S,Y,M,113,LG,18:36,7:00AM,7/4/2024,7:00,7/3/2024 9:50,7/3/2024 18:36,7/4/2024 7:00,0.881944444,21.16666667,0.516666667,12.4
78,7/3/2024,8:15,S,Y,F,73,SM,17:47,7:00AM,7/4/2024,7:00,7/3/2024 8:15,7/3/2024 17:47,7/4/2024 7:00,0.947916667,22.75,0.550694444,13.21666667
79,7/2/2024,13:15,S,Y,F,67,SM,21:56,7:00AM,7/3/2024,7:00,7/2/2024 13:15,7/2/2024 21:56,7/3/2024 7:00,0.739583333,17.75,0.377777778,9.066666667
80,7/2/2024,12:40,S,Y,M,93.6,LG,21:35,7:00AM,7/3/2024,7:00,7/2/2024 12:40,7/2/2024 21:35,7/3/2024 7:00,0.763888889,18.33333333,0.392361111,9.416666667
81,7/2/2024,12:20,S,Y,F,111.2,LG,21:09,7:00AM,7/3/2024,7:00,7/2/2024 12:20,7/2/2024 21:09,7/3/2024 7:00,0.777777778,18.66666667,0.410416667,9.85
82,7/2/2024,9:55,S,Y,M,65.2,SM,18:57,7:00AM,7/3/2024,7:00,7/2/2024 9:55,7/2/2024 18:57,7/3/2024 7:00,0.878472222,21.08333333,0.502083333,12.05
83,7/1/2024,11:24,S,Y,M,111.2,LG,20:05,7:00AM,7/2/2024,7:00,7/1/2024 11:24,7/1/2024 20:05,7/2/2024 7:00,0.816666667,19.6,0.454861111,10.91666667
84,7/1/2024,10:25,S,Y,M,87.5,LG,19:25,7:00AM,7/2/2024,7:00,7/1/2024 10:25,7/1/2024 19:25,7/2/2024 7:00,0.857638889,20.58333333,0.482638889,11.58333333
85,6/26/2024,13:20,S,Y,M,90.2,LG,22:00,7:00AM,6/27/2024,7:00,6/26/2024 13:20,6/26/2024 22:00,6/27/2024 7:00,0.736111111,17.66666667,0.375,9
86,6/26/2024,10:20,S,N,M,89.6,LG,20:00,7:00AM,6/27/2024,7:00,6/26/2024 10:20,6/26/2024 20:00,6/27/2024 7:00,0.861111111,20.66666667,0.458333333,11
87,6/26/2024,9:30,S,Y,M,109.4,LG,18:50,7:00AM,6/27/2024,7:00,6/26/2024 9:30,6/26/2024 18:50,6/27/2024 7:00,0.895833333,21.5,0.506944444,12.16666667
88,6/25/2024,10:00,S,Y,F,80.2,LG,19:00,7:00AM,6/26/2024,7:00,6/25/2024 10:00,6/25/2024 19:00,6/26/2024 7:00,0.875,21,0.5,12
89,6/24/2024,9:29,T,Y,M,79.6,SM,18:28,7:00AM,6/25/2024,7:00,6/24/2024 9:29,6/24/2024 18:28,6/25/2024 7:00,0.896527778,21.51666667,0.522222222,12.53333333
90,6/25/2024,8:50,S,Y,M,111.4,LG,17:45,7:00AM,6/26/2024,7:00,6/25/2024 8:50,6/25/2024 17:45,6/26/2024 7:00,0.923611111,22.16666667,0.552083333,13.25
91,6/24/2024,13:00,S,Y,F,93.2,LG,22:15,7:00AM,6/25/2024,7:00,6/24/2024 13:00,6/24/2024 22:15,6/25/2024 7:00,0.75,18,0.364583333,8.75
92,6/24/2024,12:50,S,Y,M,90.6,LG,21:48,7:00AM,6/25/2024,7:00,6/24/2024 12:50,6/24/2024 21:48,6/25/2024 7:00,0.756944444,18.16666667,0.383333333,9.2
93,6/24/2024,11:55,S,Y,M,78.4,SM,21:04,7:00AM,6/25/2024,7:00,6/24/2024 11:55,6/24/2024 21:04,6/25/2024 7:00,0.795138889,19.08333333,0.413888889,9.933333333
94,6/24/2024,11:50,S,Y,F,83,LG,21:06,7:00AM,6/25/2024,7:00,6/24/2024 11:50,6/24/2024 21:06,6/25/2024 7:00,0.798611111,19.16666667,0.4125,9.9
95,6/24/2024,11:14,S,Y,M,84.8,LG,20:05,7:00AM,6/25/2024,7:00,6/24/2024 11:14,6/24/2024 20:05,6/25/2024 7:00,0.823611111,19.76666667,0.454861111,10.91666667
96,6/24/2024,8:29,T,Y,M,81.4,LG,18:05,7:00AM,6/25/2024,7:00,6/24/2024 8:29,6/24/2024 18:05,6/25/2024 7:00,0.938194444,22.51666667,0.538194444,12.91666667
97,6/20/2024,13:13,S,Y,M,75,SM,21:50,7:00AM,6/21/2024,7:00,6/20/2024 13:13,6/20/2024 21:50,6/21/2024 7:00,0.740972222,17.78333333,0.381944444,9.166666667
98,6/20/2024,11:55,S,Y,M,107.2,LG,20:54,7:00AM,6/21/2024,7:00,6/20/2024 11:55,6/20/2024 20:54,6/21/2024 7:00,0.795138889,19.08333333,0.420833333,10.1
99,6/19/2024,7:36,S,Y,M,87.8,LG,17:20,7:00AM,6/20/2024,7:00,6/19/2024 7:36,6/19/2024 17:20,6/20/2024 7:00,0.975,23.4,0.569444444,13.66666667
100,6/19/2024,7:02,S,N,M,78.6,SM,16:10,7:00AM,6/20/2024,7:00,6/19/2024 7:02,6/19/2024 16:10,6/20/2024 7:00,0.998611111,23.96666667,0.618055556,14.83333333
101,6/18/2024,11:55,S,Y,F,60.8,SM,20:25,7:00AM,6/19/2024,7:00,6/18/2024 11:55,6/18/2024 20:25,6/19/2024 7:00,0.795138889,19.08333333,0.440972222,10.58333333
102,6/17/2024,13:20,S,Y,F,86,LG,22:15,7:00AM,6/18/2024,7:00,6/17/2024 13:20,6/17/2024 22:15,6/18/2024 7:00,0.736111111,17.66666667,0.364583333,8.75
103,6/17/2024,13:10,S,Y,M,89.9,LG,22:02,7:00AM,6/18/2024,7:00,6/17/2024 13:10,6/17/2024 22:02,6/18/2024 7:00,0.743055556,17.83333333,0.373611111,8.966666667
104,6/5/2024,12:34,S,Y,M,104.8,LG,21:05,7:00AM,6/6/2024,7:00,6/5/2024 12:34,6/5/2024 21:05,6/6/2024 7:00,0.768055556,18.43333333,0.413194444,9.916666667
105,6/17/2024,9:00,S,Y,M,88.4,LG,17:55,7:00AM,6/18/2024,7:00,6/17/2024 9:00,6/17/2024 17:55,6/18/2024 7:00,0.916666667,22,0.545138889,13.08333333
106,6/13/2024,12:48,S,Y,M,90,LG,21:40,7:00AM,6/14/2024,7:00,6/13/2024 12:48,6/13/2024 21:40,6/14/2024 7:00,0.758333333,18.2,0.388888889,9.333333333
107,6/13/2024,9:50,S,Y,M,65.4,SM,18:36,7:00AM,6/14/2024,7:00,6/13/2024 9:50,6/13/2024 18:36,6/14/2024 7:00,0.881944444,21.16666667,0.516666667,12.4
108,6/13/2024,9:05,S,Y,M,66.2,SM,17:55,7:00AM,6/14/2024,7:00,6/13/2024 9:05,6/13/2024 17:55,6/14/2024 7:00,0.913194444,21.91666667,0.545138889,13.08333333
109,6/13/2024,8:40,S,Y,M,72.2,SM,17:36,7:00AM,6/14/2024,7:00,6/13/2024 8:40,6/13/2024 17:36,6/14/2024 7:00,0.930555556,22.33333333,0.558333333,13.4
110,6/12/2024,12:25,S,N,M,74.6,SM,21:25,7:00AM,6/13/2024,7:00,6/12/2024 12:25,6/12/2024 21:25,6/13/2024 7:00,0.774305556,18.58333333,0.399305556,9.583333333
111,6/12/2024,12:10,S,Y,F,77.5,SM,21:10,7:00AM,6/13/2024,7:00,6/12/2024 12:10,6/12/2024 21:10,6/13/2024 7:00,0.784722222,18.83333333,0.409722222,9.833333333
112,6/3/2024,13:15,T,Y,M,89.4,LG,21:40,7:00AM,6/4/2024,7:00,6/3/2024 13:15,6/3/2024 21:40,6/4/2024 7:00,0.739583333,17.75,0.388888889,9.333333333
113,6/11/2024,13:40,S,Y,F,70.4,SM,22:25,7:00AM,6/12/2024,7:00,6/11/2024 13:40,6/11/2024 22:25,6/12/2024 7:00,0.722222222,17.33333333,0.357638889,8.583333333
114,6/11/2024,11:20,S,Y,F,93.6,LG,20:32,7:00AM,6/12/2024,7:00,6/11/2024 11:20,6/11/2024 20:32,6/12/2024 7:00,0.819444444,19.66666667,0.436111111,10.46666667
115,6/11/2024,10:00,S,Y,F,111.6,LG,19:27,7:00AM,6/12/2024,7:00,6/11/2024 10:00,6/11/2024 19:27,6/12/2024 7:00,0.875,21,0.48125,11.55
116,10-Jun,12:50,S,Y,F,85.6,LG,21:42,7:00AM,6/11/2025,7:00,6/10/2025 12:50,6/10/2025 21:42,6/11/2025 7:00,0.756944444,18.16666667,0.3875,9.3
117,6/10/2024,9:40,S,Y,F,83.8,LG,19:02,7:00AM,6/11/2024,7:00,6/10/2024 9:40,6/10/2024 19:02,6/11/2024 7:00,0.888888889,21.33333333,0.498611111,11.96666667
118,6/10/2024,9:30,S,Y,F,92.8,LG,18:28,7:00AM,6/11/2024,7:00,6/10/2024 9:30,6/10/2024 18:28,6/11/2024 7:00,0.895833333,21.5,0.522222222,12.53333333
119,6/10/2024,8:15,S,Y,M,103.4,LG,17:17,7:00AM,6/11/2024,7:00,6/10/2024 8:15,6/10/2024 17:17,6/11/2024 7:00,0.947916667,22.75,0.571527778,13.71666667
120,6/10/2024,7:00,T,Y,M,77.8,SM,16:02,7:00AM,6/11/2024,7:00,6/10/2024 7:00,6/10/2024 16:02,6/11/2024 7:00,1,24,0.623611111,14.96666667
121,6/10/2024,6:50,T,Y,F,73.1,SM,16:25,7:00AM,6/11/2024,7:00,6/10/2024 6:50,6/10/2024 16:25,6/11/2024 7:00,1.006944444,24.16666667,0.607638889,14.58333333
122,6/6/2024,8:23,T,Y,M,84.2,LG,17:10,7:00AM,6/7/2024,7:00,6/6/2024 8:23,6/6/2024 17:10,6/7/2024 7:00,0.942361111,22.61666667,0.576388889,13.83333333
123,6/6/2024,12:44,S,Y,F,86,LG,21:35,7:00AM,6/7/2024,7:00,6/6/2024 12:44,6/6/2024 21:35,6/7/2024 7:00,0.761111111,18.26666667,0.392361111,9.416666667
124,6/5/2024,14:00,S,Y,M,90,LG,22:45,7:00AM,6/6/2024,7:00,6/5/2024 14:00,6/5/2024 22:45,6/6/2024 7:00,0.708333333,17,0.34375,8.25
125,6/3/2024,10:30,S,Y,M,91.6,LG,20:00,7:00AM,6/4/2024,7:00,6/3/2024 10:30,6/3/2024 20:00,6/4/2024 7:00,0.854166667,20.5,0.458333333,11
126,8/7/2024,12:30,S,Y,F,85.6,LG,21:26,7:00AM,8/8/2024,7:00,8/7/2024 12:30,8/7/2024 21:26,8/8/2024 7:00,0.770833333,18.5,0.398611111,9.566666667
127,8/7/2024,13:15,S,Y,F,71,SM,21:50,7:00AM,8/8/2024,7:00,8/7/2024 13:15,8/7/2024 21:50,8/8/2024 7:00,0.739583333,17.75,0.381944444,9.166666667
128,8/7/2024,14:15,S,N,M,92.6,LG,23:09,7:00AM,8/8/2024,7:00,8/7/2024 14:15,8/7/2024 23:09,8/8/2024 7:00,0.697916667,16.75,0.327083333,7.85
11269,6/10/2024,12:20,S,Y,F,63.2,SM,20:58,7:00AM,6/11/2024,7:00,6/10/2024 12:20,6/10/2024 20:58,6/11/2024 7:00,0.777777778,18.66666667,0.418055556,10.03333333
11272,6/11/2024,7:20,S,Y,F,73.4,SM,16:20,7:00AM,6/12/2024,7:00,6/11/2024 7:20,6/11/2024 16:20,6/12/2024 7:00,0.986111111,23.66666667,0.611111111,14.66666667
11275,6/12/2024,10:30,S,Y,F,73.8,SM,19:37,7:00AM,6/13/2024,7:00,6/12/2024 10:30,6/12/2024 19:37,6/13/2024 7:00,0.854166667,20.5,0.474305556,11.38333333
11284,6/17/2024,10:15,S,N,F,84.4,LG,19:30,7:00AM,6/18/2024,7:00,6/17/2024 10:15,6/17/2024 19:30,6/18/2024 7:00,0.864583333,20.75,0.479166667,11.5
11289,6/19/2024,8:59,S,N,F,65.6,SM,17:34,7:00AM,6/20/2024,7:00,6/19/2024 8:59,6/19/2024 17:34,6/20/2024 7:00,0.917361111,22.01666667,0.559722222,13.43333333
11290,6/20/2024,9:20,S,N,F,82,LG,18:36,7:00AM,6/21/2024,7:00,6/20/2024 9:20,6/20/2024 18:36,6/21/2024 7:00,0.902777778,21.66666667,0.516666667,12.4
