CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,0hrbloodYN,IceCubeNumber,IceCubeOnTime,D0Fed1Time,DOFed1MinOld,D0Fed13or4qt,D0Fed1Batchnum,D0Fed1Bagnum,F1Coliform,F1LogColif,F1SPC,F1LogSPC,F1Brixpct,Feed1or2,F1VatorMatilda,D0Fed2TxGrp,8hrbloodYN,D0Fed2Time,DOFed2HrsOld,DOFed12IntervHrs,D0Fed2Batchnum,D0Fed2Bagnum,F2Coliform,F2LogColif,F2SPC,F2LogSPC,F2Brixpct,F2Feed1or2,F2VatorMatilda,D0Fed2VolRefusemL,D1MilkRefusemL,24hrbloodYN,CalfIDDup,Result0hrgL,Result8hrmgdl,Result8hrgL,Result24hrmgdl,Result24hrgL,24hrbloodTime,FarmDzYN,FarmDzDate,FarmDzDiagnosis,DiedYN,DiedDate,IceCubeOffDate,IceCubeOffTime,DoubleCheckIceCube#
66,7/8/2024,10:02,S,N,M,93.6,LG,Y,61371954,11:15,11:12,1:10,4,15,5,0,0,125,2.09691,27.6,1,Vat,CSB,Y,19:15,9:13,8:03,NA,NA,,,,,,,,0,350,Y,66,0,3911,39.11,4135,41.35,11:43,Y,7/9/2024,Diarrhea,N,NA,7/11/2024,11:23,Y
11284,6/17/2024,10:15,S,N,F,84.4,LG,Y,61371965,11:31,11:28,1:13,4,4,3,0,0,850,2.92942,24.4,1,Vat,MCT,Y,19:30,9:15,8:02,5,1,0,0,195,2.29003,21,2,Matilda,0,800,Y,11284,0,2729,27.29,3499,34.99,11:50,N,,,N,NA,6/20/2024,8:55,Y
11433,8/7/2024,11:00,S,N,F,71,SM,Y,61371949,11:22,11:40,0:40,3,30,4,0,0,700,2.8451,24.6,1,Vat,CSB,Y,19:36,8:36,7:56,NA,NA,,,,,,,,1000,0,Y,11433,0,2745,27.45,3399,33.99,11:38,N,,,N,NA,8/10/2024,8:59,Y
86,6/26/2024,10:20,S,N,M,89.6,LG,Y,61371968,12:02,12:00,1:40,4,12,2,0,0,820,2.91381,25.1,1,Vat,CSB,Y,20:00,9:40,8:00,NA,NA,,,,,,,,0,0,Y,86,0,2371,23.71,4337,43.37,12:00,N,,,N,NA,6/29/2024,8:59,Y
11405,7/29/2024,11:00,S,N,F,75.2,SM,Y,61371967,11:45,12:05,1:05,3,25,2,0,0,15000,4.17609,25.7,1,Vat,MCT,Y,20:05,9:05,8:00,14,2,0,0,940,2.97313,24.8,1,Matilda,0,600,Y,11405,0,2459,24.59,2638,26.38,12:08,N,,,N,NA,8/1/2024,7:15,Y
11430,8/6/2024,12:58,S,N,F,91.4,LG,Y,61371971,13:30,13:45,0:47,4,26,2,0,0,300,2.47712,25.8,1,Vat,MRB,Y,20:28,7:30,6:43,21,2,0,0,520,2.716,21.2,2,Matilda,1300,400,Y,11430,0,2480,24.8,3009,30.09,13:42,N,,,N,NA,8/9/2024,10:30,Y
48,7/16/2024,11:18,S,N,M,102.2,LG,Y,61371960,11:25,12:22,1:04,4,17,2,10,1,110,2.04139,25.1,1,Vat,MCB,Y,20:32,9:14,8:10,17,3,0,0,240,2.38021,20.2,2,Matilda,0,800,Y,48,0,3423,34.23,4826,48.26,12:24,Y,7/16 & 7/17,Swollen head & Diarrhea,N,NA,7/19/2024,9:10,Y
110,6/12/2024,12:25,S,N,M,74.6,SM,Y,61371971,13:16,13:15,0:50,3,7,1,0,0,850,2.92942,24.9,1,Vat,CST,Y,21:25,9:00,8:10,NA,NA,,,,,,,,0,0,Y,110,0,2914,29.14,4015,40.15,13:49,N,,,N,NA,6/15/2024,9:27,Y
11429,8/6/2024,11:45,S,N,F,83.8,LG,Y,61371957,12:05,12:30,0:45,4,42,2,0,0,5200,3.716,25.4,1,Vat,MCB,Y,21:42,9:57,9:12,NA,NA,,,,,,,,800,0,Y,11429,0,3307,33.07,2821,28.21,12:30,N,,,N,NA,8/9/2024,10:34,Y
11379,7/23/2024,13:10,S,N,F,88.2,LG,Y,61371948,13:27,13:48,0:38,4,22,4,0,0,40,1.60206,25.6,1,Vat,CSB,Y,21:45,8:35,7:57,NA,NA,,,,,,,,0,600,Y,11379,0,3382,33.82,3601,36.01,13:48,Y,7/24/2024,Diarrhea ,N,NA,7/26/2024,9:41,Y
11407,7/30/2024,12:55,S,N,F,60,SM,Y,61371960,13:30,13:40,0:45,3,25,5,0,0,15000,4.17609,25.7,1,Vat,MCB,Y,21:45,8:50,8:05,20,1,0,0,125,2.09691,21.1,2,Matilda,800,1000,Y,11407,0,3403,34.03,3009,30.09,13:43,N,,,N,NA,8/2/2024,9:12,Y
11340,7/10/2024,13:30,S,N,F,75.2,SM,Y,61371964,14:00,14:20,0:50,3,14,4,0,0,320,2.50515,25,1,Vat,CSB,Y,22:20,8:50,8:00,NA,NA,,,,,,,,0,0,Y,11340,0,4046,40.46,4127,41.27,14:22,Y,7/11/2024,Diarrhea,N,NA,7/13/2024,9:16,Y
128,8/7/2024,14:15,S,N,M,92.6,LG,Y,61371965,15:10,15:16,1:01,4,28,5,0,0,1700,3.23045,25.4,1,Vat,MRB,Y,23:09,8:54,7:53,NA,NA,,,,,,,,0,1800,Y,128,0,3307,33.07,4127,41.27,15:00,Y,8/8/2024,DIARRHEA,N,NA,8/10/2024,8:56,Y
11375,7/22/2024,14:30,S,N,F,60,SM,Y,61371956,15:05,15:15,0:45,3,21,4,0,0,240,2.38021,25.4,1,Vat,MCB,Y,23:10,8:40,7:55,18,1,0,0,250,2.39794,20.8,2,Matilda,0,500,Y,11375,0,2989,29.89,4235,42.35,15:14,Y,7/23/2024,Diarrhea ,N,NA,7/25/2024,8:40,Y
11341,7/10/2024,14:00,S,N,F,69.2,SM,Y,61371959,14:30,15:10,1:10,3,14,2,0,0,320,2.50515,25,1,Vat,MCB,Y,23:12,9:12,8:02,15,2,0,0,45,1.65321,20.4,2,Matilda,0,900,Y,11341,0,3834,38.34,2116,21.16,14:55,N,,,N,NA,7/13/2024,9:20,Y
64,7/10/2024,6:00,S,Y,F,94.4,LG,Y,61371953,6:50,6:46,0:46,4,15,2,0,0,125,2.09691,27.6,1,Vat,MRB,Y,14:45,8:45,7:59,NA,NA,,,,,,,,0,0,Y,64,0,3603,36.03,2831,28.31,6:50,N,,,N,NA,7/13/2024,9:01,Y
31,7/25/2024,5:55,S,Y,M,111.4,LG,Y,61371968,6:28,6:52,0:57,4,23,4,0,0,1200,3.07918,25.6,1,Matilda,MCB,Y,14:52,8:57,8:00,19,2,0,0,440,2.64345,20.8,2,Matilda,0,0,Y,31,0,3814,38.14,3503,35.03,9:47,Y,25-Jul,BAD KNEE ,N,NA,7/28/2024,9:47,Y
30,7/25/2024,6:20,S,Y,M,60.6,SM,Y,61371963,6:33,7:10,0:50,3,9,5,0,0,270,2.43136,25.6,1,Vat,CSB,Y,15:15,8:55,8:05,NA,NA,,,,,,,,800,0,Y,30,0,3282,32.82,4337,43.37,9:52,N,,,N,NA,7/28/2024,9:52,Y
11333,7/9/2024,6:00,S,Y,F,60,SM,Y,61371968,7:24,7:22,1:22,3,8,1,210,2.32222,1300,3.11394,25.5,1,Vat,MRB,Y,15:30,9:30,8:08,NA,NA,,,,,,,,600,0,Y,11333,0,3210,32.1,3499,34.99,7:42,N,,,N,NA,7/12/2024,9:16,Y
35,7/24/2024,7:20,S,Y,F,75.2,SM,Y,61371959,7:52,7:48,0:28,3,21,1,0,0,240,2.38021,25.4,1,Vat,MCB,Y,15:50,8:30,8:02,16,1,0,0,160,2.20412,20.3,2,Matilda,0,1800,Y,35,0,3900,39,4135,41.35,8:24,N,,,N,NA,7/27/2024,9:29,Y
46,7/17/2024,6:50,S,Y,F,79.6,SM,Y,61371967,7:30,7:56,1:06,3,18,2,0,0,115,2.0607,26.1,1,Vat,MCT,Y,15:51,9:01,7:55,17,4,0,0,240,2.38021,20.2,2,Matilda,0,0,Y,46,0,3324,33.24,3423,34.23,8:26,N,,,N,NA,7/20/2024,9:04,Y
120,6/10/2024,7:00,T,Y,M,77.8,SM,Y,61371949,8:01,8:00,1:00,3,5,1,0,0,1600,3.20412,25.9,1,Vat,CSB,Y,16:02,9:02,8:02,NA,NA,,,,,,,,0,0,Y,120,0,2745,27.45,3499,34.99,7:30,N,,,N,NA,6/13/2024,10:01,Y
39,7/23/2024,7:00,S,Y,F,88,LG,Y,61371972,7:57,8:15,1:15,4,22,2,0,0,40,1.60206,25.6,1,Vat,CSB,Y,16:10,9:10,7:55,NA,NA,,,,,,,,800,0,Y,39,0,3483,34.83,3107,31.07,8:30,N,,,N,NA,7/26/2024,9:56,Y
63,7/10/2024,6:40,T,Y,F,74.6,SM,Y,61371967,8:08,8:05,1:25,3,11,1,5,0.69897,5900,3.77085,25.1,1,Vat,MCB,Y,16:15,9:35,8:10,10,2,0,0,750,2.87506,20.9,2,Matilda,0,800,Y,63,0,3307,33.07,4280,42.8,8:14,N,,,N,NA,7/13/2024,9:04,Y
42,7/22/2024,7:00,S,Y,F,82.6,LG,Y,61371964,7:26,8:30,1:30,4,21,MATILDA,0,0,240,2.38021,25.4,1,Matilda,MRB,Y,16:18,9:18,7:48,NA,NA,,,,,,,,0,0,Y,42,0,4790,47.9,4168,41.68,8:40,N,,,N,NA,7/25/2024,8:50,Y
34,7/24/2024,7:45,S,Y,F,100.2,LG,Y,61371958,7:56,8:19,0:34,4,23,1,0,0,1200,3.07918,25.6,1,Matilda,MRB,Y,16:20,8:35,8:01,NA,NA,,,,,,,,0,0,Y,34,0,2615,26.15,3911,39.11,8:29,N,,,N,NA,7/27/2024,9:32,Y
11272,6/11/2024,7:20,S,Y,F,73.4,SM,Y,61371972,8:24,8:20,1:00,3,6,3,0,0,840,2.92428,24.7,1,Vat,CST,Y,16:20,9:00,8:00,NA,NA,,,,,,,,O,1300,Y,11272,0,2729,27.29,3704,37.04,9:02,N,,,N,NA,6/14/2024,10:56,Y
121,6/10/2024,6:50,T,Y,F,73.1,SM,Y,61371951,8:08,8:07,1:17,3,5,3,0,0,1600,3.20412,25.9,1,Vat,MCB,Y,16:25,9:35,8:18,3,6,0,0,900,2.95424,19.5,2,Matilda,0,400,Y,121,0,3307,33.07,4682,46.82,7:35,N,,,N,NA,6/13/2024,10:02,Y
29,7/25/2024,7:26,S,Y,F,91.6,LG,Y,61371971,7:58,8:24,0:58,4,23,3,0,0,1200,3.07918,25.6,1,Matilda,CST,Y,16:28,9:02,8:04,NA,NA,,,,,,,,0,500,Y,29,0,4447,44.47,3911,39.11,9:49,Y,7/26/2024,DIARRHEA,N,NA,7/28/2024,9:49,Y
74,7/4/2024,7:00,T,Y,F,75.3,SM,Y,61371971,8:33,8:38,1:38,3,14,1,0,0,320,2.50515,25,1,Vat,MRB,Y,16:36,9:36,7:58,NA,NA,,,,,,,,350,0,Y,74,0,3115,31.15,4466,44.66,8:38,N,,,N,NA,7/7/2024,8:52,Y
25,7/29/2024,7:19,S,Y,F,88.6,LG,Y,61371964,7:46,8:45,1:26,4,24,5,0,0,520,2.716,25.3,1,Vat,MRB,Y,16:45,9:26,8:00,NA,NA,,,,,,,,450,700,Y,25,0,3403,34.03,4121,41.21,8:40,N,,,N,NA,8/1/2024,7:12,Y
45,7/18/2024,8:00,T,Y,M,96.2,LG,Y,61371963,8:40,8:45,0:45,4,19,MATILDA,0,0,250,2.39794,26,1,Matilda,MCT,Y,16:45,8:45,8:00,17,2,0,0,240,2.38021,20.2,2,Matilda,0,2000,Y,45,0,3324,33.24,3735,37.35,9:40,N,,,N,NA,7/21/2024,13:35,Y
71,7/8/2024,7:20,S,Y,M,98.8,LG,Y,61371949,8:33,8:30,1:10,4,10,1,0,0,3300,3.51851,24.9,1,Vat,MCB,Y,16:50,9:30,8:20,10,1,0,0,750,2.87506,20.9,2,Matilda,0,0,Y,71,0,3404,34.04,4693,46.93,8:34,N,,,N,NA,7/11/2024,11:09,Y
6,8/5/2024,8:15,S,Y,F,101.6,LG,Y,61371963,8:37,9:00,0:45,4,28,1,0,0,1700,3.23045,25.4,1,Vat,MCT,Y,17:01,8:46,8:01,22,1,0,0,680,2.83251,20.6,2,Matilda,0,0,Y,6,0,3503,35.03,3601,36.01,9:20,N,,,N,NA,8/8/2024,10:11,Y
11406,7/30/2024,8:03,S,Y,F,68.4,SM,Y,61371953,9:06,9:00,0:57,3,25,3,0,0,15000,4.17609,25.7,1,Vat,MRB,Y,17:09,9:06,8:09,NA,NA,,,,,,,,0,0,Y,11406,0,2822,28.22,3601,36.01,9:00,N,,,N,NA,8/2/2024,8:23,Y
122,6/6/2024,8:23,T,Y,M,84.2,LG,Y,61371963,9:15,9:00,0:37,4,3,4,0,0,50,1.69897,25.1,1,Vat,MCT,Y,17:10,8:47,8:10,2,3,0,0,215,2.33244,20.6,2,Matilda,0,1000,Y,122,0,3807,38.07,4682,46.82,11:14,N,,,N,NA,6/9/2024,8:52,Y
70,7/8/2024,8:15,S,Y,F,79.8,SM,Y,61371955,9:08,9:06,0:51,3,14,3,0,0,320,2.50515,25,1,Vat,CSB,Y,17:15,9:00,8:09,NA,NA,,,,,,,,0,0,Y,70,0,3807,38.07,4135,41.35,9:16,N,,,N,NA,7/11/2024,9:08,Y
119,6/10/2024,8:15,S,Y,M,103.4,LG,Y,61371955,9:17,9:15,1:00,4,3,1,0,0,50,1.69897,25.1,1,Vat,MRB,Y,17:17,9:02,8:02,NA,NA,,,,,,,,500,1100,Y,119,0,2927,29.27,4337,43.37,9:25,N,,,N,NA,6/13/2024,10:03,Y
99,6/19/2024,7:36,S,Y,M,87.8,LG,Y,61371955,9:25,9:23,1:47,4,5,MATILDA,0,0,850,2.92942,24.9,1,Matilda,MRB,Y,17:20,9:44,7:57,NA,NA,,,,,,,,200,800,Y,99,0,3808,38.08,4015,40.15,12:54,Y,6/20/2024,Diarrhea,N,NA,6/22/2024,9:47,Y
41,7/22/2024,8:40,S,Y,M,80.6,LG,Y,61371953,8:45,9:32,0:52,4,22,MATILDA,0,0,560,2.74819,25.3,1,Matilda,CST,Y,17:25,8:45,7:53,NA,NA,,,,,,,,0,0,Y,41,0,2348,23.48,4621,46.21,9:32,N,,,N,NA,7/25/2024,8:55,Y
18,7/30/2024,8:55,S,Y,F,77.8,SM,Y,61371968,9:19,9:24,0:29,3,25,4,0,0,15000,4.17609,25.7,1,Vat,CST,Y,17:26,8:31,8:02,NA,NA,,,,,,,,0,0,Y,18,0,3403,34.03,3626,36.26,9:30,N,,,N,NA,8/2/2024,9:05,Y
24,7/29/2024,8:00,S,Y,F,84.2,LG,Y,61371966,8:40,9:25,1:25,4,24,3,0,0,520,2.716,25.3,1,Vat,MCB,Y,17:30,9:30,8:05,14,1,0,0,940,2.97313,24.8,1,Matilda,0,0,Y,24,0,3011,30.11,4127,41.27,9:30,N,,,N,NA,8/1/2024,7:12,Y
16,7/31/2024,8:50,S,Y,M,110.4,LG,Y,61371971,9:18,9:30,0:40,4,26,1,0,0,300,2.47712,25.8,1,Vat,CSB,Y,17:32,8:42,8:02,NA,NA,,,,,,,,850,0,Y,16,0,3403,34.03,3705,37.05,9:31,N,,,N,NA,8/3/2024,9:53,Y
28,7/25/2024,8:35,S,Y,F,97.6,LG,Y,61371955,9:20,9:35,1:00,4,23,MATILDA,0,0,1200,3.07918,25.6,1,Matilda,MCT,Y,17:33,8:58,7:58,18,4,0,0,250,2.39794,20.8,2,Matilda,0,500,Y,28,0,3085,30.85,3807,38.07,9:53,N,,,N,NA,7/28/2024,9:53,Y
11338,7/10/2024,8:10,S,Y,F,74,SM,Y,61371972,9:24,9:21,1:11,3,11,5,5,0.69897,5900,3.77085,25.1,1,Vat,CSB,Y,17:35,9:25,8:14,NA,NA,,,,,,,,0,0,Y,11338,0,4154,41.54,142,1.42,10:06,Y,7/11/2024,Diarrhea,N,NA,7/13/2024,9:11,Y
109,6/13/2024,8:40,S,Y,M,72.2,SM,Y,61371959,9:38,9:36,0:56,3,5,2,0,0,1600,3.20412,25.9,1,Vat,MRB,Y,17:36,8:56,8:00,NA,NA,,,,,,,,1400,2000,Y,109,0,452,4.52,4446,44.46,9:35,N,,,N,NA,6/16/2024,8:44,Y
2,8/7/2024,9:00,S,Y,F,96.6,LG,Y,61371953,9:35,9:45,0:45,4,28,6,0,0,1700,3.23045,25.4,1,Vat,CSB,Y,17:43,8:43,7:58,NA,NA,,,,,,,,0,0,Y,2,0,3705,37.05,4506,45.06,9:45,N,,,N,NA,8/10/2024,8:46,Y
17,7/30/2024,9:10,S,Y,F,81.2,LG,Y,61371958,9:32,9:40,0:30,4,42,1,0,0,5200,3.716,25.4,1,Vat,MRB,Y,17:45,8:35,8:05,NA,NA,,,,,,,,1700,500,Y,17,0,2729,27.29,3939,39.39,9:49,N,,,N,NA,8/2/2024,9:08,Y
90,6/25/2024,8:50,S,Y,M,111.4,LG,Y,61371949,9:49,9:46,0:56,4,4,1,0,0,850,2.92942,24.4,1,Vat,CSB,Y,17:45,8:55,7:59,NA,NA,,,,,,,,0,0,Y,90,0,2638,26.38,4337,43.37,9:46,Y,6/26/2024,Diarrhea,N,NA,6/28/2024,10:14,Y
78,7/3/2024,8:15,S,Y,F,73,SM,Y,61371957,9:10,9:07,0:52,3,9,2,0,0,270,2.43136,25.6,1,Vat,MCT,Y,17:47,9:32,8:40,7,1,0,0,850,2.92942,20.7,2,Matilda,0,0,Y,78,0,2655,26.55,4579,45.79,9:07,N,,,N,NA,7/6/2024,8:40,Y
58,7/11/2024,9:20,S,Y,M,105.2,LG,Y,61371955,10:04,9:57,0:37,4,15,1,0,0,125,2.09691,27.6,1,Vat,MRB,Y,17:50,8:30,7:53,NA,NA,,,,,,,,0,0,Y,58,0,4046,40.46,3911,39.11,9:55,N,,,N,NA,7/15/2024,9:03,Y
105,6/17/2024,9:00,S,Y,M,88.4,LG,Y,61371963,9:56,9:54,0:54,4,2,4,0,0,110,2.04139,24.7,1,Vat,MCT,Y,17:55,8:55,8:01,5,2,0,0,195,2.29003,21,2,Matilda,0,0,Y,105,0,2638,26.38,4229,42.29,10:18,N,,,N,NA,6/20/2024,8:52,Y
108,6/13/2024,9:05,S,Y,M,66.2,SM,Y,61371956,9:48,9:45,0:40,3,6,4,0,0,840,2.92428,24.7,1,Vat,MCB,Y,17:55,8:50,8:10,2,4,0,0,215,2.33244,20.6,2,Matilda,1000,1400,Y,108,0,3601,36.01,4557,45.57,9:40,N,,,N,NA,6/16/2024,8:45,Y
11387,7/25/2024,8:46,S,Y,F,70,SM,Y,61371960,9:10,10:01,1:15,3,16,1,10,1,100,2,25.4,1,Vat,MCT,Y,18:02,9:16,8:01,19,1,0,0,440,2.64345,20.8,2,Matilda,0,500,Y,11387,0,3282,32.82,3842,38.42,9:38,Y,7/26/2024,DIARRHEA,N,NA,7/28/2024,9:38,Y
96,6/24/2024,8:29,T,Y,M,81.4,LG,Y,61371972,10:01,9:55,1:26,4,7,EXTRA,0,0,850,2.92942,24.9,1,Vat,MCT,Y,18:05,9:36,8:10,6,4,0,0,600,2.77815,20.7,2,Matilda,0,2000,Y,96,0,3009,30.09,3911,39.11,9:58,N,,,N,NA,6/27/2024,9:36,Y
44,7/18/2024,8:35,T,Y,M,96.3,LG,Y,61371949,9:50,10:08,1:33,4,20,1,0,0,35,1.54407,24.9,1,Vat,CSB,Y,18:08,9:33,8:00,NA,NA,,,,,,,,800,2000,Y,44,0,2482,24.82,3949,39.49,10:15,N,,,N,NA,7/21/2024,13:40,Y
68,7/8/2024,8:45,S,Y,F,85,LG,Y,61371965,10:14,10:12,1:27,4,13,2,0,0,110,2.04139,25.7,1,Vat,MCT,Y,18:22,9:37,8:10,3,2,0,0,900,2.95424,19.5,2,Matilda,0,0,Y,68,0,4015,40.15,4693,46.93,10:30,Y,7/9/2024,Diarrhea,N,NA,7/11/2024,11:17,Y
89,6/24/2024,9:29,T,Y,M,79.6,SM,Y,61371963,10:20,10:15,0:46,3,8,2,210,2.32222,1300,3.11394,25.5,1,Vat,CSB,Y,18:28,8:59,8:13,NA,NA,,,,,,,,0,500,Y,89,0,2729,27.29,3911,39.11,10:18,Y,6/25/2024,Diarrhea,N,NA,6/27/2024,9:40,Y
118,6/10/2024,9:30,S,Y,F,92.8,LG,Y,61371967,10:26,10:25,0:55,4,6,MATILDA,0,0,530,2.72428,24.3,1,Matilda,CST,Y,18:28,8:58,8:03,NA,NA,,,,,,,,O,0,Y,118,0,4121,41.21,4229,42.29,10:50,N,,,N,NA,6/13/2024,10:04,Y
8,8/2/2024,9:20,S,Y,M,67,SM,Y,61371956,10:07,10:25,1:05,3,27,5,0,0,440,2.64345,25.8,1,Vat,MCB,Y,18:30,9:10,8:05,22,2,0,0,680,2.83251,20.6,2,Matilda,1600,0,Y,8,0,2142,21.42,3399,33.99,10:40,N,,,N,NA,8/5/2024,7:04,Y
15,7/31/2024,9:40,S,Y,M,73.4,SM,Y,61371951,10:00,10:30,0:50,3,25,1,0,0,15000,4.17609,25.7,1,Vat,CST,Y,18:30,8:50,8:00,NA,NA,,,,,,,,0,0,Y,15,0,1950,19.5,3626,36.26,10:40,N,,,N,NA,8/3/2024,9:59,Y
77,7/3/2024,9:50,S,Y,M,113,LG,Y,61371954,10:17,10:36,0:46,4,12,3,0,0,820,2.91381,25.1,1,Vat,MCT,Y,18:36,8:46,8:00,3,3,0,0,900,2.95424,19.5,2,Matilda,0,1200,Y,77,0,2309,23.09,4579,45.79,10:38,Y,7/4/2024,Diarrhea,N,NA,7/6/2024,8:46,Y
107,6/13/2024,9:50,S,Y,M,65.4,SM,Y,61371964,10:38,10:36,0:46,3,7,2,0,0,850,2.92942,24.9,1,Vat,CSB,Y,18:36,8:46,8:00,NA,NA,,,,,,,,0,0,Y,107,0,2914,29.14,4446,44.46,10:53,N,,,N,NA,6/16/2024,8:52,Y
38,7/23/2024,9:30,S,Y,,89.6,LG,Y,61371951,10:45,10:54,1:24,4,22,3,0,0,40,1.60206,25.6,1,Vat,CST,Y,18:48,9:18,7:54,NA,NA,,,,,,,,0,0,Y,38,0,3585,35.85,4373,43.73,10:54,Y,7/24/2024,Diarrhea ,N,NA,7/26/2024,9:53,Y
14,7/31/2024,10:20,S,Y,M,86.4,LG,Y,61371963,10:45,10:50,0:30,4,27,MATILDA,0,0,840,2.92428,26.9,1,Matilda,MCT,Y,18:50,8:30,8:00,20,3,0,0,125,2.09691,21.1,2,Matilda,0,0,Y,14,0,3011,30.11,3128,31.28,10:50,N,,,N,NA,8/3/2024,9:54,Y
87,6/26/2024,9:30,S,Y,M,109.4,LG,Y,61371956,10:50,10:47,1:17,4,10,5,0,0,3300,3.51851,24.9,1,Vat,MCT,Y,18:50,9:20,8:03,6,3,0,0,600,2.77815,20.7,2,Matilda,0,0,Y,87,0,2914,29.14,3603,36.03,10:49,Y,6/27/2024,Diarrhea,N,NA,6/29/2024,9:01,Y
51,7/16/2024,9:50,S,Y,M,98.4,LG,Y,61371951,10:08,10:51,1:01,4,17,4,10,1,110,2.04139,25.1,1,Vat,MRB,Y,18:51,9:01,8:00,NA,NA,,,,,,,,1200,0,Y,51,0,2752,27.52,4263,42.63,10:53,Y,7/17/2024,Diarrhea,N,NA,7/19/2024,9:04,Y
