CalfID,Birthdate,BirthTime,SingleTwinST,CrossbredYN,SexMF,BirthWtLbs,CalfSizeLgSm,Fed1VolL,0hrbloodYN,IceCubeNumber,IceCubeOnTime,D0Fed1Time,DOFed1MinOld,D0Fed13or4qt,D0Fed1Batchnum,D0Fed1Bagnum,F1ColostIgGgL,F1DoseIgGfedg,F1Coliform,F1LogColif,F1SPC,F1LogSPC,F1Brixpct,Feed1or2,F1VatorMatilda,D0Fed2TxGrp,8hrbloodYN,D0Fed2Time,DOFed2HrsOld,DOFed12IntervHrs,DOFed2VolOfferedmL,D0Fed2VolRefusemL,DOFed2VolConsummL,D0Fed2Batchnum,D0Fed2Bagnum,F2ColostIgGgL,F2DoseIgGfedg,F1F2TotIgGconsumg,F2Coliform,F2LogColif,F2SPC,F2LogSPC,F2Brixpct,F2Feed1or2,F2VatorMatilda,D1MilkRefusemL,24hrbloodYN,CalfIDDup,Result0hrgL,Result8hrmgdl,Result8hrgL,Result24hrmgdl,Result24hrgL,24hrbloodTime,FarmDzYN,FarmDzDate,FarmDzDiagnosis,DiedYN,DiedDate,IceCubeOffDate,IceCubeOffTime,DoubleCheckIceCube#,removeyn
113,6/11/2024,13:40,S,Y,F,70.4,SM,2.85,Y,61371958,14:28,14:25,0:45,3,5,4,74.6,212.6,0,0,1600,3.20412,25.9,1,Vat,CSB,Y,22:25,8:45,8:00,1000,1500,-500,NA,NA,100.0,-50.0,162.6,,,,,,,,600,Y,113,0,2914,29.14,4058,40.58,14:40,N,,,N,NA,6/14/2024,11:01,Y,1
11272,6/11/2024,7:20,S,Y,F,73.4,SM,2.85,Y,61371972,8:24,8:20,1:00,3,6,3,70.1,199.8,0,0,840,2.92428,24.7,1,Vat,CST,Y,16:20,9:00,8:00,1000,0,1000,NA,NA,100.0,100.0,299.8,,,,,,,,1300,Y,11272,0,2729,27.29,3704,37.04,9:02,N,,,N,NA,6/14/2024,10:56,Y,0
114,6/11/2024,11:20,S,Y,F,93.6,LG,3.80,Y,61371953,12:32,12:30,1:10,4,2,2,76.1,289.2,0,0,110,2.04139,24.7,1,Vat,MCT,Y,20:32,9:12,8:02,1900,0,1900,2,6,64.4,122.4,411.5,0,0,215,2.33244,20.6,2,Matilda,450,Y,114,0,2914,29.14,3705,37.05,12:30,N,,,N,NA,6/14/2024,10:59,Y,0
115,6/11/2024,10:00,S,Y,F,111.6,LG,3.80,Y,61371954,11:15,11:12,1:12,4,2,2,76.1,289.2,0,0,110,2.04139,24.7,1,Vat,MCT,Y,19:27,9:27,8:15,1900,0,1900,2,1,64.4,122.4,411.5,0,0,215,2.33244,20.6,2,Matilda,0,Y,115,0,3105,31.05,4782,47.82,11:15,N,,,N,NA,6/14/2024,10:57,Y,0
110,6/12/2024,12:25,S,N,M,74.6,SM,2.85,Y,61371971,13:16,13:15,0:50,3,7,1,73.0,208.1,0,0,850,2.92942,24.9,1,Vat,CST,Y,21:25,9:00,8:10,1000,0,1000,NA,NA,100.0,100.0,308.1,,,,,,,,0,Y,110,0,2914,29.14,4015,40.15,13:49,N,,,N,NA,6/15/2024,9:27,Y,0
11275,6/12/2024,10:30,S,Y,F,73.8,SM,2.85,Y,61371968,11:35,11:30,1:00,3,7,4,73.0,208.1,0,0,850,2.92942,24.9,1,Vat,MCB,Y,19:37,9:07,8:07,1900,0,1900,3,7,52.6,99.9,308.0,0,0,900,2.95424,19.5,2,Matilda,900,Y,11275,0,2914,29.14,3704,37.04,11:50,N,,,N,NA,6/15/2024,9:44,Y,0
111,6/12/2024,12:10,S,Y,F,77.5,SM,2.85,Y,61371966,13:15,13:10,1:00,3,7,5,73.0,208.1,0,0,850,2.92942,24.9,1,Vat,MRB,Y,21:10,9:00,8:00,1900,0,1900,NA,NA,0.0,0.0,208.1,,,,,,,,600,Y,111,0,3201,32.01,4015,40.15,13:49,N,,,N,NA,6/15/2024,9:28,Y,0
107,6/13/2024,9:50,S,Y,M,65.4,SM,2.85,Y,61371964,10:38,10:36,0:46,3,7,2,73.0,208.1,0,0,850,2.92942,24.9,1,Vat,CSB,Y,18:36,8:46,8:00,1000,0,1000,NA,NA,100.0,100.0,308.1,,,,,,,,0,Y,107,0,2914,29.14,4446,44.46,10:53,N,,,N,NA,6/16/2024,8:52,Y,0
106,6/13/2024,12:48,S,Y,M,90,LG,3.80,Y,61371965,13:42,13:40,0:52,4,4,4,77.9,296.0,0,0,850,2.92942,24.4,1,Vat,CST,Y,21:40,8:52,8:00,1000,0,1000,NA,NA,100.0,100.0,396.0,,,,,,,,0,Y,106,0,2371,23.71,4337,43.37,13:33,N,,,N,NA,6/16/2024,8:53,Y,0
108,6/13/2024,9:05,S,Y,M,66.2,SM,2.85,Y,61371956,9:48,9:45,0:40,3,6,4,70.1,199.8,0,0,840,2.92428,24.7,1,Vat,MCB,Y,17:55,8:50,8:10,1900,1000,900,2,4,64.4,58.0,257.7,0,0,215,2.33244,20.6,2,Matilda,1400,Y,108,0,3601,36.01,4557,45.57,9:40,N,,,N,NA,6/16/2024,8:45,Y,0
109,6/13/2024,8:40,S,Y,M,72.2,SM,2.85,Y,61371959,9:38,9:36,0:56,3,5,2,74.6,212.6,0,0,1600,3.20412,25.9,1,Vat,MRB,Y,17:36,8:56,8:00,1900,1400,500,NA,NA,0.0,0.0,212.6,,,,,,,,2000,Y,109,0,452,4.52,4446,44.46,9:35,N,,,N,NA,6/16/2024,8:44,Y,0
103,6/17/2024,13:10,S,Y,M,89.9,LG,3.80,Y,61371958,14:16,14:15,1:05,4,2,3,76.1,289.2,0,0,110,2.04139,24.7,1,Vat,CSB,Y,22:02,8:52,7:47,1000,0,1000,NA,NA,100.0,100.0,389.2,,,,,,,,0,Y,103,0,3009,30.09,3603,36.03,14:15,Y,6/18/2024,Diarrhea,N,NA,6/20/2024,8:50,Y,0
102,6/17/2024,13:20,S,Y,F,86,LG,3.80,Y,61371957,14:21,14:20,1:00,4,2,5,76.1,289.2,0,0,110,2.04139,24.7,1,Vat,MCB,Y,22:15,8:55,7:55,1900,1700,200,5,4,56.3,11.3,300.4,0,0,195,2.29003,21,2,Matilda,250,Y,102,0,3105,31.05,4058,40.58,14:20,N,,,N,NA,6/20/2024,8:54,Y,0
11284,6/17/2024,10:15,S,N,F,84.4,LG,3.80,Y,61371965,11:31,11:28,1:13,4,4,3,77.9,296.0,0,0,850,2.92942,24.4,1,Vat,MCT,Y,19:30,9:15,8:02,1900,0,1900,5,1,56.3,107.0,403.0,0,0,195,2.29003,21,2,Matilda,800,Y,11284,0,2729,27.29,3499,34.99,11:50,N,,,N,NA,6/20/2024,8:55,Y,0
105,6/17/2024,9:00,S,Y,M,88.4,LG,3.80,Y,61371963,9:56,9:54,0:54,4,2,4,76.1,289.2,0,0,110,2.04139,24.7,1,Vat,MCT,Y,17:55,8:55,8:01,1900,0,1900,5,2,56.3,107.0,396.2,0,0,195,2.29003,21,2,Matilda,0,Y,105,0,2638,26.38,4229,42.29,10:18,N,,,N,NA,6/20/2024,8:52,Y,0
101,6/18/2024,11:55,S,Y,F,60.8,SM,2.85,Y,61371954,12:31,12:28,0:33,3,7,3,73.0,208.1,0,0,850,2.92942,24.9,1,Vat,MRB,Y,20:25,8:30,7:57,1900,1500,400,NA,NA,0.0,0.0,208.1,,,,,,,,1400,Y,101,0,3601,36.01,3705,37.05,12:32,Y,6/19/2024,Diarrhea,N,NA,6/21/2024,9:39,Y,0
100,6/19/2024,7:02,S,N,M,78.6,SM,2.85,Y,61371964,7:55,7:54,0:52,3,6,1,70.1,199.8,0,0,840,2.92428,24.7,1,Vat,CST,Y,16:10,9:08,8:16,1000,0,1000,NA,NA,100.0,100.0,299.8,,,,,,,,0,Y,100,0,3399,33.99,4337,43.37,7:50,N,,,N,NA,6/22/2024,9:34,Y,0
11289,6/19/2024,8:59,S,N,F,65.6,SM,2.85,Y,61371971,9:35,9:32,0:33,3,6,2,70.1,199.8,0,0,840,2.92428,24.7,1,Vat,MCB,Y,17:34,8:35,8:02,1900,550,1350,8,1,49.7,67.1,266.9,0,0,750,2.87506,20.9,2,Matilda,1700,Y,11289,0,3601,36.01,3601,36.01,12:54,N,,,N,NA,6/22/2024,9:26,Y,0
99,6/19/2024,7:36,S,Y,M,87.8,LG,3.80,Y,61371955,9:25,9:23,1:47,4,5,MATILDA,81.7,310.5,0,0,850,2.92942,24.9,1,Matilda,MRB,Y,17:20,9:44,7:57,1900,200,1700,NA,NA,0.0,0.0,310.5,,,,,,,,800,Y,99,0,3808,38.08,4015,40.15,12:54,Y,6/20/2024,Diarrhea,N,NA,6/22/2024,9:47,Y,0
11290,6/20/2024,9:20,S,N,F,82,LG,3.80,Y,61371966,10:40,10:39,1:19,4,4,5,77.9,296.0,0,0,850,2.92942,24.4,1,Vat,CSB,Y,18:36,9:16,7:57,1000,0,1000,NA,NA,100.0,100.0,396.0,,,,,,,,0,Y,11290,0,3009,30.09,3704,37.04,22:40,N,,,N,NA,6/23/2024,9:39,Y,0
98,6/20/2024,11:55,S,Y,M,107.2,LG,3.80,Y,61371960,12:46,12:45,0:50,4,8,MATILDA,81.3,308.9,0,0,700,2.8451,25.4,1,Matilda,CST,Y,20:54,8:59,8:09,1000,0,1000,NA,NA,100.0,100.0,408.9,,,,,,,,1900,Y,98,0,2638,26.38,4229,42.29,12:45,N,,,N,NA,6/23/2024,9:43,Y,0
97,6/20/2024,13:13,S,Y,M,75,SM,2.85,Y,61371953,13:25,13:50,0:37,3,8,4,81.3,231.7,210,2.32222,1300,3.11394,25.5,1,Vat,MCT,Y,21:50,8:37,8:00,1900,0,1900,8,4,49.7,94.4,326.1,0,0,750,2.87506,20.9,2,Matilda,1900,Y,97,0,2200,22,4337,43.37,13:30,N,,,N,NA,6/23/2024,9:45,Y,0
89,6/24/2024,9:29,T,Y,M,79.6,SM,2.85,Y,61371963,10:20,10:15,0:46,3,8,2,81.3,231.7,210,2.32222,1300,3.11394,25.5,1,Vat,CSB,Y,18:28,8:59,8:13,1000,0,1000,NA,NA,100.0,100.0,331.7,,,,,,,,500,Y,89,0,2729,27.29,3911,39.11,10:18,Y,6/25/2024,Diarrhea,N,NA,6/27/2024,9:40,Y,0
93,6/24/2024,11:55,S,Y,M,78.4,SM,2.85,Y,61371960,13:05,13:03,1:08,3,9,1,82.9,236.3,0,0,270,2.43136,25.6,1,Vat,CST,Y,21:04,9:09,8:01,1000,0,1000,NA,NA,100.0,100.0,336.3,,,,,,,,0,Y,93,0,2914,29.14,3705,37.05,13:00,N,,,N,NA,6/27/2024,9:36,Y,0
91,6/24/2024,13:00,S,Y,F,93.2,LG,3.80,Y,61371955,14:00,13:58,0:58,4,7,EXTRA,73.0,277.4,0,0,850,2.92942,24.9,1,Vat,MCB,Y,22:15,9:15,8:17,1900,900,1000,5,3,56.3,56.3,333.7,0,0,195,2.29003,21,2,Matilda,0,Y,91,0,2033,20.33,3630,36.3,14:00,Y,6/25/2024,Diarrhea,N,NA,6/27/2024,9:33,Y,0
95,6/24/2024,11:14,S,Y,M,84.8,LG,3.80,Y,61371965,11:46,11:45,0:31,4,11,MATILDA,79.1,300.6,0,0,7000,3.8451,25.2,1,Matilda,MCB,Y,20:05,8:51,8:20,1900,700,1200,6,1,60.7,72.8,373.4,0,0,600,2.77815,20.7,2,Matilda,2000,Y,95,0,3499,34.99,4015,40.15,12:02,Y,6/25/2024,Diarrhea,N,NA,6/27/2024,9:41,Y,0
96,6/24/2024,8:29,T,Y,M,81.4,LG,3.80,Y,61371972,10:01,9:55,1:26,4,7,EXTRA,73.0,277.4,0,0,850,2.92942,24.9,1,Vat,MCT,Y,18:05,9:36,8:10,1900,0,1900,6,4,60.7,115.3,392.7,0,0,600,2.77815,20.7,2,Matilda,2000,Y,96,0,3009,30.09,3911,39.11,9:58,N,,,N,NA,6/27/2024,9:36,Y,0
92,6/24/2024,12:50,S,Y,M,90.6,LG,3.80,Y,61371953,13:51,13:48,0:58,4,7,MATILDA,63.2,240.2,0,0,1750,3.24304,23.6,1,Matilda,MRB,Y,21:48,8:58,8:00,1900,1000,900,NA,NA,0.0,0.0,240.2,,,,,,,,1700,Y,92,0,2371,23.71,3307,33.07,13:58,Y,6/25 and 6/26,(25)Diarrhea (26) fever,N,NA,6/27/2024,9:44,Y,0
94,6/24/2024,11:50,S,Y,F,83,LG,3.80,Y,61371954,13:01,12:58,1:08,4,7,EXTRA,73.0,277.4,0,0,850,2.92942,24.9,1,Vat,MRB,Y,21:06,9:16,8:08,1900,0,1900,NA,NA,0.0,0.0,277.4,,,,,,,,1050,Y,94,0,3201,32.01,3911,39.11,13:04,Y,6/25/2024,Diarrhea,N,NA,6/27/2024,9:47,Y,0
90,6/25/2024,8:50,S,Y,M,111.4,LG,3.80,Y,61371949,9:49,9:46,0:56,4,4,1,77.9,296.0,0,0,850,2.92942,24.4,1,Vat,CSB,Y,17:45,8:55,7:59,1000,0,1000,NA,NA,100.0,100.0,396.0,,,,,,,,0,Y,90,0,2638,26.38,4337,43.37,9:46,Y,6/26/2024,Diarrhea,N,NA,6/28/2024,10:14,Y,0
88,6/25/2024,10:00,S,Y,F,80.2,LG,3.80,Y,61371966,11:08,11:05,1:05,4,10,2,81.3,308.9,0,0,3300,3.51851,24.9,1,Vat,CST,Y,19:00,9:00,7:55,1000,0,1000,NA,NA,100.0,100.0,408.9,,,,,,,,0,Y,88,0,3499,34.99,4557,45.57,11:02,N,,,N,NA,6/28/2024,10:17,Y,0
86,6/26/2024,10:20,S,N,M,89.6,LG,3.80,Y,61371968,12:02,12:00,1:40,4,12,2,79.1,300.6,0,0,820,2.91381,25.1,1,Vat,CSB,Y,20:00,9:40,8:00,1000,0,1000,NA,NA,100.0,100.0,400.6,,,,,,,,0,Y,86,0,2371,23.71,4337,43.37,12:00,N,,,N,NA,6/29/2024,8:59,Y,0
85,6/26/2024,13:20,S,Y,M,90.2,LG,3.80,Y,61371958,13:43,13:58,0:38,4,12,1,79.1,300.6,0,0,820,2.91381,25.1,1,Vat,MCB,Y,22:00,8:40,8:02,1900,1500,400,7,2,53.8,21.5,322.1,0,0,850,2.92942,20.7,2,Matilda,300,Y,85,0,2638,26.38,3911,39.11,14:00,N,,,N,NA,6/29/2024,8:56,Y,0
11305,6/26/2024,9:45,S,N,F,101.4,LG,3.80,Y,61371971,11:01,11:00,1:15,4,10,4,81.3,308.9,0,0,3300,3.51851,24.9,1,Vat,MCT,Y,19:02,9:17,8:02,1900,0,1900,6,2,60.7,115.3,424.3,0,0,600,2.77815,20.7,2,Matilda,0,Y,11305,0,3105,31.05,3321,33.21,11:05,N,,,N,NA,6/29/2024,8:53,Y,0
87,6/26/2024,9:30,S,Y,M,109.4,LG,3.80,Y,61371956,10:50,10:47,1:17,4,10,5,81.3,308.9,0,0,3300,3.51851,24.9,1,Vat,MCT,Y,18:50,9:20,8:03,1900,0,1900,6,3,60.7,115.3,424.3,0,0,600,2.77815,20.7,2,Matilda,0,Y,87,0,2914,29.14,3603,36.03,10:49,Y,6/27/2024,Diarrhea,N,NA,6/29/2024,9:01,Y,0
83,7/1/2024,11:24,S,Y,M,111.2,LG,3.80,Y,61371963,11:58,12:10,0:46,4,13,1,81.6,310.1,0,0,110,2.04139,25.7,1,Vat,CST,Y,20:05,8:41,7:55,1000,0,1000,NA,NA,100.0,100.0,410.1,,,,,,,,0,Y,83,0,2371,23.71,3919,39.19,12:25,Y,7/2/2024,Diarrhea,N,NA,7/4/2024,8:51,Y,0
84,7/1/2024,10:25,S,Y,M,87.5,LG,3.80,Y,61371958,11:00,11:22,0:57,4,13,5,81.6,310.1,0,0,110,2.04139,25.7,1,Vat,MRB,Y,19:25,9:00,8:03,1900,800,1100,NA,NA,0.0,0.0,310.1,,,,,,,,800,Y,84,0,3913,39.13,3919,39.19,11:25,Y,7/2/2024,Diarrhea,N,NA,7/4/2024,8:50,Y,0
80,7/2/2024,12:40,S,Y,M,93.6,LG,3.80,Y,61371948,13:36,13:35,0:55,4,10,MATILDA,74.2,282.0,0,0,7500,3.87506,23.6,1,Matilda,CSB,Y,21:35,8:55,8:00,1000,0,1000,NA,NA,100.0,100.0,382.0,,,,,,,,0,Y,80,0,3399,33.99,4621,46.21,13:36,Y,7/3/2024,Diarrhea,N,NA,7/5/2024,9:10,Y,0
79,7/2/2024,13:15,S,Y,F,67,SM,2.85,Y,61371951,13:52,13:51,0:36,3,8,3,81.3,231.7,210,2.32222,1300,3.11394,25.5,1,Vat,CST,Y,21:56,8:41,8:05,1000,0,1000,NA,NA,100.0,100.0,331.7,,,,,,,,500,Y,79,0,3399,33.99,4808,48.08,13:51,Y,7/3/2024,Diarrhea,N,NA,7/5/2024,9:13,Y,0
81,7/2/2024,12:20,S,Y,F,111.2,LG,3.80,Y,61371967,13:06,13:05,0:45,4,10,3,81.3,308.9,0,0,3300,3.51851,24.9,1,Vat,MCB,Y,21:09,8:49,8:04,1900,0,1900,11,2,53.1,100.9,409.8,0,0,4400,3.64345,20.1,2,Matilda,0,Y,81,0,3399,33.99,3919,39.19,13:06,N,,,N,NA,7/5/2024,9:02,Y,0
82,7/2/2024,9:55,S,Y,M,65.2,SM,2.85,Y,61371968,11:00,10:57,1:02,3,11,3,73.6,209.8,5,0.69897,5900,3.77085,25.1,1,Vat,MRB,Y,18:57,9:02,8:00,1900,800,1100,NA,NA,0.0,0.0,209.8,,,,,,,,0,Y,82,0,48,0.48,4693,46.93,11:25,N,,,N,NA,7/5/2024,9:04,Y,0
76,7/3/2024,10:20,S,Y,F,76.6,SM,2.85,Y,61371965,10:53,11:20,1:00,3,11,4,73.6,209.8,5,0.69897,5900,3.77085,25.1,1,Vat,CSB,Y,19:20,9:00,8:00,1000,0,1000,NA,NA,100.0,100.0,309.8,,,,,,,,0,Y,76,0,3210,32.1,3919,39.19,11:20,Y,7/4/2024,Diarrhea,N,NA,7/6/2024,8:44,Y,0
75,7/3/2024,11:55,S,Y,F,83.8,LG,3.80,Y,61371955,12:10,12:48,0:53,4,12,5,79.1,300.6,0,0,820,2.91381,25.1,1,Vat,MCB,Y,20:40,8:45,7:52,1900,1100,800,3,1,52.6,42.1,342.7,0,0,900,2.95424,19.5,2,Matilda,0,Y,75,0,3399,33.99,3919,39.19,12:48,Y,7/5/2024,Diarrhea,N,NA,7/6/2024,8:49,Y,0
78,7/3/2024,8:15,S,Y,F,73,SM,2.85,Y,61371957,9:10,9:07,0:52,3,9,2,82.9,236.3,0,0,270,2.43136,25.6,1,Vat,MCT,Y,17:47,9:32,8:40,1900,0,1900,7,1,53.8,102.2,338.5,0,0,850,2.92942,20.7,2,Matilda,0,Y,78,0,2655,26.55,4579,45.79,9:07,N,,,N,NA,7/6/2024,8:40,Y,0
77,7/3/2024,9:50,S,Y,M,113,LG,3.80,Y,61371954,10:17,10:36,0:46,4,12,3,79.1,300.6,0,0,820,2.91381,25.1,1,Vat,MCT,Y,18:36,8:46,8:00,1900,0,1900,3,3,52.6,99.9,400.5,0,0,900,2.95424,19.5,2,Matilda,1200,Y,77,0,2309,23.09,4579,45.79,10:38,Y,7/4/2024,Diarrhea,N,NA,7/6/2024,8:46,Y,0
73,7/4/2024,10:30,S,Y,F,97.4,LG,3.80,Y,61371953,11:05,11:47,1:17,4,14,MATILDA,80.8,307.0,0,0,940,2.97313,24.8,1,Matilda,CST,Y,19:50,9:20,8:03,1000,0,1000,NA,NA,100.0,100.0,407.0,,,,,,,,400,Y,73,0,4121,41.21,3814,38.14,11:47,N,,,N,NA,7/7/2024,8:55,Y,0
72,7/4/2024,11:10,S,Y,M,81.4,LG,3.80,Y,61371966,11:50,12:05,0:55,4,13,,81.6,310.1,0,0,110,2.04139,25.7,1,Vat,MRB,Y,20:05,8:55,8:00,1900,0,1900,NA,NA,0.0,0.0,310.1,,,,,,,,1300,Y,72,0,4223,42.23,3919,39.19,12:00,N,,,N,NA,7/7/2024,8:57,Y,0
74,7/4/2024,7:00,T,Y,F,75.3,SM,2.85,Y,61371971,8:33,8:38,1:38,3,14,1,83.4,237.7,0,0,320,2.50515,25,1,Vat,MRB,Y,16:36,9:36,7:58,1900,350,1550,NA,NA,0.0,0.0,237.7,,,,,,,,0,Y,74,0,3115,31.15,4466,44.66,8:38,N,,,N,NA,7/7/2024,8:52,Y,0
66,7/8/2024,10:02,S,N,M,93.6,LG,3.80,Y,61371954,11:15,11:12,1:10,4,15,5,93.9,356.8,0,0,125,2.09691,27.6,1,Vat,CSB,Y,19:15,9:13,8:03,1000,0,1000,NA,NA,100.0,100.0,456.8,,,,,,,,350,Y,66,0,3911,39.11,4135,41.35,11:43,Y,7/9/2024,Diarrhea,N,NA,7/11/2024,11:23,Y,0
70,7/8/2024,8:15,S,Y,F,79.8,SM,2.85,Y,61371955,9:08,9:06,0:51,3,14,3,83.4,237.7,0,0,320,2.50515,25,1,Vat,CSB,Y,17:15,9:00,8:09,1000,0,1000,NA,NA,100.0,100.0,337.7,,,,,,,,0,Y,70,0,3807,38.07,4135,41.35,9:16,N,,,N,NA,7/11/2024,9:08,Y,0
69,7/8/2024,8:20,S,N,M,98.8,LG,3.80,Y,61371957,9:30,9:28,1:08,4,13,4,81.6,310.1,0,0,110,2.04139,25.7,1,Vat,CST,Y,17:30,9:10,8:02,1000,0,1000,NA,NA,100.0,100.0,410.1,,,,,,,,1000,Y,69,0,3807,38.07,4114,41.14,9:30,Y,7/9/2024,Diarrhea,N,NA,7/11/2024,11:16,Y,0
11331,7/8/2024,12:00,S,Y,F,77.2,SM,2.85,Y,61371958,13:00,12:55,0:55,3,9,4,82.9,236.3,0,0,270,2.43136,25.6,1,Vat,MCB,Y,20:55,8:55,8:00,1900,0,1900,8,3,49.7,94.4,330.7,0,0,750,2.87506,20.9,2,Matilda,0,Y,11331,0,3503,35.03,3201,32.01,12:58,N,,,N,NA,7/11/2024,9:11,Y,0
